,date,company,investment amount,industry sector,source country,company name
0,,,,oil,,
1,,,,,,
2,04/19/2023,,,oil,,
3,10 January 2026,,NA,,,
4,12 December 2025,,,,,
5,12 December 2025,,46.5 billion dollars,mining,Canada,
6,12 December 2025,NAFTA,105 billion pesos,public works,Mexico,
7,12 January 2026,Amazon Web Services,US$5 billion,data centers,United States,
8,12 January 2026,Grupo Aeroportuario Marina (GAM),MX$8.5 billion (US$460 million),,,
9,13 January 2026,,,,Mexico,
10,13 January 2026,Bankaool,,,,
11,13 January 2026,British government,"over 33,000 pesos",,British,
12,14 January 2026,,,,,
13,14 January 2026,China Railway Group,,railway,China,
14,15 December 2025,,,,NA,
15,16 December 2025,,3.165 billion dollars,pharmaceutical and medical devices,,
16,16 December 2025,Uber Freight,$34.3 billion,"automotive, industrial machinery and advanced manufacturing",U.S.,
17,17 December 2025,,,private pharmacy network sector,,
18,17 December 2025,Grupo Zocalo,NA,NA,EU,
19,17 December 2025,NFI,"45,946 million dollars",,,
20,18 December 2025,CENIE,,,Content Engine,
21,18 December 2025,Codifin,,,,
22,18 December 2025,Finsa,,industrial development,,
23,2 January 2026,,787.6 million dollars,tourism,,
24,2 January 2026,,787.6 millones de dólares,turistico,,
25,2 January 2026,NAFTA,43.2 billion,,United States,
26,2 January 2026,icon Group/Avanzia Pharma,NA,pharmaceutical,,
27,20 December 2025,Volaris and Viva,,low-cost airline,,
28,2021,,,,,
29,2024,,,NA,MEXICO,
30,2025,,,,,
31,2026,,,,,
32,21 December 2025,,6 billion dollars,Technology industry,United States,
33,21 December 2025,ABB,2.3 billion dollars,industrial automation,Swiss,
34,22 December 2025,SilverBlue,,,USA,
35,24 December 2025,,,,Canada,
36,24 December 2025,Costco,,,,
37,25 December 2025,,,,,
38,26 December 2025,Edomex,,"logistics, commerce and business services",State of Mexico,
39,27 December 2025,General Atlantic,US$490 million,,US,
40,29 December 2025,,,,,
41,29 December 2025,,,,China,
42,3 January 2026,,,,,
43,3 January 2026,,45.3 million dollars,tourism and services,Venezuela,
44,3 January 2026,NFINCE,45.3 million dollars,,Venezuela,
45,30 de diciembre de 2018,,,,,
46,499 words,General Atlantic,$490 million,Sports business,U.S.,
47,6 January 2026,,,,,
48,6 January 2026,,,infradestructura,,
49,7 January 2026,,,,,
50,7 January 2026,Maquiladora,NA,Export Manufacturing Industry,Mexico,
51,8 January 2026,,,,Canada,
52,8 January 2026,,19 billion pesos,,,
53,9 January 2026,,,,,
54,9 January 2026,SAT,16 billion pesos,IMMEX,,
55,"December 13, 2025",,,,,
56,"December 14, 2025",,,,,
57,December 2025,Apollo Sports Group,$1.25 billion,sports,,
58,"January 12, 2026",Expeditors International of Washington Inc.,,Warehousing and Distribution,Mexico,
59,"January 12, 2026",NFINCE,,,United States,
60,"January 7, 2026",,,,United Kingdom,
61,Today,,,,,
